operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,BlockByBlockWithBufferedStream,1000,10485760,17
WRITE,BlockByBlockWithBufferedStream,500,10485760,21
WRITE,BlockByBlockWithBufferedStream,50,10485760,17
WRITE,BlockByBlockWithBufferedStream,5,10485760,63
WRITE,BlockByBlockWithBufferedStream,4,10485760,64
WRITE,BlockByBlockWithBufferedStream,3,10485760,93
WRITE,BlockByBlockWithBufferedStream,2,10485760,137
WRITE,ByteByByteWithBufferedStream,0,10485760,188
WRITE,ByteByByteWithBufferedStream,0,10485760,228
WRITE,ByteByByteWithBufferedStream,0,10485760,233
WRITE,ByteByByteWithBufferedStream,0,10485760,222
WRITE,ByteByByteWithBufferedStream,0,10485760,217
WRITE,BlockByBlockWithoutBufferedStream,1000,10485760,40
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,43
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,355
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,3440
WRITE,BlockByBlockWithoutBufferedStream,4,10485760,4298
WRITE,BlockByBlockWithoutBufferedStream,3,10485760,5684
WRITE,BlockByBlockWithoutBufferedStream,2,10485760,8454
WRITE,ByteByByteWithoutBufferedStream,0,10485760,16450
WRITE,ByteByByteWithoutBufferedStream,0,10485760,16450
WRITE,ByteByByteWithoutBufferedStream,0,10485760,16599
WRITE,ByteByByteWithoutBufferedStream,0,10485760,16512
WRITE,ByteByByteWithoutBufferedStream,0,10485760,16480
READ,BlockByBlockWithBufferedStream,1000,10485760,9
READ,BlockByBlockWithBufferedStream,500,10485760,8
READ,BlockByBlockWithBufferedStream,50,10485760,10
READ,BlockByBlockWithBufferedStream,5,10485760,28
READ,BlockByBlockWithBufferedStream,4,10485760,29
READ,BlockByBlockWithBufferedStream,3,10485760,38
READ,BlockByBlockWithBufferedStream,2,10485760,57
READ,ByteByByteWithBufferedStream,0,10485760,65
READ,ByteByByteWithBufferedStream,0,10485760,65
READ,ByteByByteWithBufferedStream,0,10485760,63
READ,ByteByByteWithBufferedStream,0,10485760,62
READ,ByteByByteWithBufferedStream,0,10485760,62
READ,BlockByBlockWithoutBufferedStream,1000,10485760,14
READ,BlockByBlockWithoutBufferedStream,500,10485760,25
READ,BlockByBlockWithoutBufferedStream,50,10485760,214
READ,BlockByBlockWithoutBufferedStream,5,10485760,2106
READ,BlockByBlockWithoutBufferedStream,4,10485760,2635
READ,BlockByBlockWithoutBufferedStream,3,10485760,3642
READ,BlockByBlockWithoutBufferedStream,2,10485760,5297
READ,ByteByByteWithoutBufferedStream,0,10485760,10122
READ,ByteByByteWithoutBufferedStream,0,10485760,10122
READ,ByteByByteWithoutBufferedStream,0,10485760,10230
READ,ByteByByteWithoutBufferedStream,0,10485760,10306
READ,ByteByByteWithoutBufferedStream,0,10485760,10159
